ID,name,portrait,contexts,eventNum,skipNum
1,경비원,1,드디어 끝나신 모양이군요. 어떻던가요?,,
2,당신,1,(조각상과 열람실# 사물함에서 확인한 내용을 간단히 보고했다.),,
3,경비원,1,...사서분이 그저 호들갑을 떨던 건 아니었던 모양이군요.,,
4,경비원,1,아니# 그렇다고 제가 조각상이 움직였다고 믿는다는 뜻은 아닙니다. 아직은요.,,
5,경비원,1,사물함이요?,,
6,경비원,1,열려 있었다니# 이상하네요. 그건 문을 닫으면 자동으로 잠기게 되어 있습니다. 고장이 났나.....,,
7,경비원,1,청사에 보고를 올리는 김에 시설 고장 얘기도 넣어야겠군요. 이용자 물품 관리 문제까지 섞이면 골치 아파지니까요.,,
8,당신,1,(시설 고장이라.),,
9,당신,5,(움직이는 조각상도# 사라진 책도# 열려 있던 사물함도... 결국 적당한 항목으로 분류되는 거군.),,
10,경비원,1,뭐# 제가 나중에 한번 살펴보겠습니다. 이만 들어가세요.,,
11,당신,1,(예의상 고개를 살짝 까딱였다.),,
