ID,name,portrait,contexts,eventNum,skipNum
1,사서,1,...끝났나요?,,
2,사서,1,정말로# 이제 그게... 움직이지 않나요?,,
3,당신,1,(안심시키듯 차분히 고개를 끄덕인다.),,
4,사서,1,감사합니다. 정말 감사합니다. 저 혼자였다면... 정말로... 다른 층에도 모두 조각상이 있으니 달리 도망갈 곳도 없어서 곤란했어요.,,
5,사서,1,(잠시 숨을 고른다.),,
6,사서,1,그# 혹시!! 조각상 근처에서 책 한 권 못보셨나요?,1,
7,사서,1,앗# 그렇군요... 그럼 대체 어딜 간 거지...,,
8,사서,1,사실 저는 책을 찾으러 올라온 거였어요. [이달의 도서 목록]을 정리하고 있었는데# 한 권이 비어 있어서요...,,
9,사서,1,어딘가 잘못 꽂혀있나 싶어서 책을 찾으러 왔다가 그 소리를 들은 건데... 여전히 못 찾겠네요.,,
10,사서,1,책 제목이요? 죄송해요. 지금 머릿속이 새하얘서 떠오르지가 않아요...,,
11,사서,1,목록을 1층에 붙여뒀는데# 금방 발견하실 수 있을 거예요.,,
12,사서,1,그런데 책이 혼자 사라질 리는 없잖아요. 저는 항상 제자리에 꽂는데... 누군가 잘못 꽂았거나... 들고 갔거나... 하지만 아무도 없는데 누가...,,
13,당신,1,(들고 갔거나.),,
14,당신,1,(조각상 중에 책을 들고 있는 게 있었나.),,
