ID,name,portrait,sentences,eventNum,skipNum
1,,,태어난 지 얼마 되지 않은 아이가 독뱀의 목을 쥐고 있다.,,2
2,,,이런 사람이랑 나는 태생부터 다르지 아무래도...,,
3,,,으으# 사람의 머리를 깨고 사람이 나오고 있다.,,4
4,,,탄생이라고 부르기엔 너무 폭력적인 장면이 아닌가?,,
5,,,여러 인물이 한 방향을 향해 서 있다. 누군가는 축복을# 누군가는 판결을 기다리는 표정이다. 그들의 시선이 향하는 것은...,,6
6,,,...,,7
7,,,왜 나를 그런 눈으로 보고 있지?,,
8,,,조개껍데기 위에 선 여인이 바다 거품 위에 수줍게 서 있다.,,9
9,,,가장 끔찍한 것에서도 가장 아름다운 것이 태어날 수 있다니.,,10
10,,,그림 아래 바닥에 희미한 물자국이 보인다. 청소 자국이 덜 마른 걸까.,,
11,,,<탄생>@생명이 시작되는 찰나의 아름다움과 그 뒤에 숨겨진 신비.@탄생이란 그 자체로 얼마나 경이로운가요.,,12
12,,,그러나 신화 속 탄생은 종종 피# 균열# 형벌# 금기와 함께 찾아옵니다.,,13
13,,,아름다운 존재는 어디에서 비롯되는가.@그리고 태어난 것은 반드시 축복받아야 하는가.,,
