ID,name,portrait,sentences,eventNum,skipNum
1,경비원,1,어떡하지... 어떡하지...,,
2,경비원,1,...아이고#,,
3,경비원,1,와악!!!!!!!!!!!!!,,
4,경비원,1,아# 사람이었군요... 이거 실례했습니다. 요 며칠은 발소리만 들어도 심장이 먼저 반응해버리네요. 이거 원.,,
5,경비원,1,행색을 보아하니 청사에서 나오신 분이겠군요. 관장님이 기다리던….@'조각상 점검 담당자'님.,,
6,당신,1,(조각상 점검 담당자... 명함에 넣고 싶진 않은 직함이다.),,
7,경비원,1,저 그게# 면목 없습니다만# 부탁 하나만 드려도 되겠습니까.,,
8,경비원,1,제가 야간 순찰 중에 정원 조각상 쪽에서 소리를 들었습니다. 병이 굴러가는 소리 같기도 하고# 누가 낮게 웃는 소리 같기도 하고요.,,
9,경비원,1,디오니소스상 근처였습니다. 술의 신이라 그런가# 원래도 밤에는 좀… 뭔가 음산해 보이는 작품이긴 합니다만.,,
10,경비원,1,확인하려고 다가갔는데# 수로에 비친 조각상 그림자가 실제보다 조금 늦게 움직이는 것처럼 보였습니다..!,,
11,경비원,1,그 순간 제가 그만… 도망쳤습니다. 이 경비가 말입니다. 허허. 웃을 일이 아닌데도 웃음이 나오네요. 여튼.,,
12,경비원,1,급하게 허둥대다 그만 열쇠꾸러미를 저 멀리 날려버렸지 뭡니까.,,
13,경비원,1,조각상 근처에 떨어진 건 봤는데# 저 혼자서는 도저히 다시 가까이 갈 엄두가 안 납니다. 이제 조각상만 봐도 겁이 나서 참... 몸이 덜덜 떨려서 참... ,,
14,경비원,1,초면에 염치없지만… 혹시 선생님께서 좀 찾아와 주실 수 있겠습니까?,1,
15,경비원,1,이렇게 감사할 데가! 그럼 염치불구하고 부탁드립니다. 디오니소스상 근처 화단 쪽일 겁니다.,,
16,경비원,1,아무쪼록 조심하시고요...,,18
17,경비원,1,아아# 그럼요. 이해합니다. 저도 통 진정이 안 되네요. 휴...,,
