ID,name,portrait,sentences,eventNum,skipNum
1,미술관장,1,오# 드디어...,,
2,미술관장,1,생각보다 좀 오래 걸리셨네요... 아무래도 구경할 만한 게 많죠? 매일 일만 하면 재미없잖아요. 이참에 문화생활도 하고 그러는 거죠...,,
3,미술관장,1,예술작품은 오래 볼수록 좋으니까요. 평소라면요.,,
4,미술관장,1,확인하신 내용은 제가 청사 쪽에 전달하겠습니다. 보고서 표현은 이쪽에서 정리할게요.,,
5,미술관장,1,...당분간 조각상 보기가 무섭지 않겠냐고요?,,
6,미술관장,1,하하# 천만에요! 작품이 정말로 무언가를 품고 있었다면# 저는 그걸 지금까지 표면만 보고 있었던 셈이니까요.,,
7,미술관장,1,오히려 작품에 담긴 제가 모르는 서사가 눈을 뜬다고 생각하니... 더 두근두근거리는걸요...,,
8,미술관장,1,(두근두근),,
9,미술관장,1,앗# 죄송합니다. 제가 작품 얘기만 나오면 말이 길어져서요...,,
10,미술관장,1,청사에는 제가 잘 말해 둘 테니까# 오늘은 이만 돌아가시면 됩니다. 고생하셨어요.,,
11,미술관장,1,그리고… 다음에 오실 땐# 평범한 관람객으로 와 주세요.,,
