ID,name,portrait,sentences,eventNum,skipNum
1,미술관장,1,……!,,
2,미술관장,1,아# 아아… 사람이었군요. 죄송합니다. 요 며칠은 발소리만 들어도 심장이 내려앉아서요.,,
3,미술관장,1,드디어 오셨군요. 계속 기다렸답니다.,,
4,미술관장,1,이 상태로는 도저히 마음 편히 미술관을 비워둘 수가 없어서… 제대로 눕지도 못했어요. 제가 없는 사이 작품들에 무슨 일이라도 생기면 안 되니까요..,,
5,미술관장,1,사람이야 도망치면 되지만# 작품은 다리가 없잖아요!,,
6,미술관장,1,앗# 아닙니다. 너무 걱정이 돼서... 잠깐 쓸데없는 소리를 했네요.,,
7,미술관장,1,들으셨겠지만# 움직였다는 신고가 있었습니다.@정확히는… 움직인 것 같다는 신고죠. 직접 봤다는 사람은 없고요.,,
8,미술관장,1,뭐 어찌됐든 시설 점검이니까요. 미술관에 있는 조각상들을 모~두! 조사해주시면 됩니다.,,
9,미술관장,1,그 중 [수상한 조각상]이 분명 하나가 있을 거예요. ,,
10,미술관장,1,받침대의 먼지# 바닥의 긁힌 자국# 명패의 위치# 주변 물건의 변화… 그런 것들을 봐주시면 뭔가 아실 수 있지 않을까요... 아마도요.,,
11,당신,5,(움직이는 조각상이라니# 아무리 생각해도 말도 안 되는 소리...),,
12,당신,1,(침착하자. 그래봤자 보고서나 제대로 들고 가면 되는 일이야.),,
13,미술관장,1,말이 길어졌네요. 그럼 우선# 아래 조각상부터 시험삼아 확인해 보시죠.,,
14,미술관장,1,제가 며칠을 여기서 지켜봤으니까요. 적어도 저거 하나는 확실히 안전할 거예요...,,
15,미술관장,1,만약 [수상한 조각상]이라고 생각되시면... 즉시 부숴주세요. '긴급 보존 조치' 라던가... 뒷처리는 저희가 알아서 할 테니까 걱정 마시고요.,,
16,당신,2,(보존 조치라면서 부수라는 건가.),,
17,미술관장,1,뭐# 만약 아니라면 그냥 보고서에 한 줄 쓰시는 게 다예요...,,
18,미술관장,1,하지만...!,,
19,미술관장,1,정상 작품에 흠집이 나면. 곤란합니다. 아주# 굉장히# 돌이킬 수 없을 만큼 곤란해요.,,
20,미술관장,1,그러니 신중하게 봐주세요. 수상한 것을 놓쳐도# 멀쩡한 걸 부숴도 문제입니다. 하하# 이것 참 어렵네요.,,
21,미술관장,1,그리고# 보이는 모습만으로 판단하시면 안 돼요! 원래부터 이상하게 생긴 작품도 많으니까요...,,
22,미술관장,1,음... 그럼 이해가 되셨을까요?,1,
23,미술관장,1,어찌됐든 시설 점검이니까요. 쉽게 말해서# 미술관에 있는 조각상들을 모~두! 조사해주시면 됩니다.,,
24,미술관장,1,그 중 [수상한 조각상]이 분명 하나가 있을 거예요. ,,
25,미술관장,1,받침대의 먼지# 바닥의 긁힌 자국# 명패의 위치# 주변 물건의 변화… 그런 것들을 봐주시면 뭔가 아실 수 있지 않을까요... 아마도요.,,
26,미술관장,1,...그럼 이해가 되셨을까요?,2,
27,미술관장,1,좋아요. 그러면 일단 다녀오세요!,,
