ID,name,contexts,eventNum,skipNum
1,리안,표정이 왜 그러지? 내가 30초 늦었다고 사람 잡는 타입으로 보이나?,,
3,리안,뭐# 그런 얘기를 하려고 부른 건 아니고.,,
4,리안,본론으로 가지.@자네 아버지는 여전히 연락이 안 되겠지?,,
5,당신,(아무래도 어머니 돌아가시고 정신이 나갔다고는 말 못하지.),,
6,리안,조각상들에 문제가 생겼다.,,
7,당신,문제...라뇨.,,
8,리안,최근 조각상이 움직이는 걸 봤다는 제보가 계속 늘고 있어.@처음에는 단체로 헛것이라도 본 건가 싶었지,,
10,당신,...움직인다고요? 돌덩이가?,,
9,리안,그런데 같은 얘기가# 다른 입에서 반복되니# 이제는 무시할 수가 없게 됐네.,,
12,리안,하지만 이대로 뒀다 무슨 소동이 일어날지 몰라.@자네도 알겠지만 여기 키프로스에서 조각상은 단순한 장식이 아니야.@피그말리온의 조각으로 세워진 도시니까.,,
14,당신,...그래서 저를 부르신 겁니까.,,
15,리안,맞아. 자네가 그 문제가 있다는 조각상들을 찾아 깨끗이 부숴줬으면 하네.,,
18,당신,하지만 돌조각 깨는 일이라면 아무나 시켜도 되잖아요?@만드는 데에나 재능이 필요하지# 부수는 건...,,
19,리안,이런 일을 '아무나'에게 맡길 수는 없어.,,
22,리안,그래도 이번 일은# 자네가 하는 게 낫겠어.,,
25,당신,네. 뭐... 그렇게 말씀하시면 제가 해야겠죠.,,
26,당신,(살아 있는지 죽었는지도 모르는 핏줄에 발목 잡히다니.),,
27,리안,보수는 따로 챙겨줄 테니 너무 언짢아 말게. 자네는 그냥 평소처럼 시설 점검을 다니면 된다고.,,
28,리안,그 대상이 이번에는 조각상일 뿐이지.,,
29,당신,...알겠습니다.,,
30,리안,좋아. 그럼 자세한 건 메신저로 보내지.,,
31,리안,이 정도면 됐군.@업무시간도 꽤 지났으니 이만 자리로 가게나.,,
