ID,name,portrait,sentences,eventNum,skipNum
1,,,도서관 운영 수칙이 적혀 있는 서류다. 어떤 항목을 살펴볼까?,1,
2,,,[회의실 대여 수칙],,
3,,,회의실은 사전 예약 또는 현장 신청을 통해 대여 가능합니다. @이용자는 신분증을 보증으로 맡기고 열쇠를 받을 수 있습니다.,,
4,,,퇴실할 때에는 다음 이용자를 위해 회의실을 정리하여 주시고# 열쇠는 카운터에 반드시 반납해 주십시오.,,
5,,,관리자가 자리를 비워 열쇠를 반납할 수 없는 경우# 지하 사물함에 임시 보관했다가 다음날 오전 중으로 반납해 주십시오.,,11
6,,,[열람실 대여 수칙],,
7,,,도서관 마감 시간이 경과할 경우 임의로 자리가 정리될 수 있습니다.@자리를 비울 때는 개인 물품을 반드시 정리해주세요.,,
8,,,열람실 내 개인석은 월 정기 대여가 가능합니다.@정기 대여자는 개인석과 사물함을 배정해 드리며# 자리에 짐을 보관하셔도 됩니다.,,
9,,,정기 대여용 사물함은 [A열 300번대]입니다. 정기 대여를 원할 경우 카운터에 말씀해주세요.,,
10,,,열람실 내 타인에게 불편을 주는 행동은 삼가해 주시기 바랍니다.,,11
