ID,name,portrait,contexts,eventNum,skipNum
1,,,000  「도서관의 미래」@"도서관은 단순한 정보 저장소가 아니다. 누가 무엇을 제자리에 꽂아두었는지 기억하는 장치다.",,2
2,,,(도서관은 책보다 위치를 기억하는 곳이군.),,
3,,,002  「우리는 왜 정보를 믿는가」@"증언은 흔들리고# 기록은 누락되며# 눈은 쉽게 속는다. 믿을 수 있는 것은 단서들의 배열뿐이다.",,4
4,,,(좋은 말이다. 문제는 지금 내가 그 배열을 맞춰야 한다는 점이고.),,
5,,,003 「색인 작성법」@"책을 찾는 일은 결국 이름과 번호# 그리고 그것이 있어야 할 자리를 맞추는 일이다.",,6
6,,,(이 도서관에서는 빈자리도 말이 많다.),,
7,,,112 「정의란 무엇인가」@"잘못된 판단의 책임은 누구에게 있는가. 명령한 자# 실행한 자# 혹은 침묵한 자.",,8
8,,,(조각상을 잘못 부수면# 책임도 분류표에 맞춰 나눌 수 있나.),,
9,,,140 「행복의 철학」@"행복은 때로 아무 일도 일어나지 않는 상태에 붙이는 이름이다.",,10
10,,,(그렇다면 오늘은 확실히 행복과 거리가 멀다.),,
11,,,160 「타인의 고통」@"타인의 고통을 이해한다는 말은 종종 오만에 가깝다. 고통은 관찰되는 순간 대상이 된다.",,12
12,,,(조각상도 고통을 느낀다면?)@(아니. 생각하지 말자.),,
13,,,201 「신의 존재 증명」@"인간은 응답을 원했고# 응답이 오면 그것을 신이라 불렀다.",,14
14,,,(소원을 들어주는 신이 있다면# 이 도시에는 진작 민원 창구가 생겼겠지.),,
15,,,204 「세계의 종교」@"기도는 대개 가장 낮은 목소리로 시작된다. 때로는 침묵과 거의 구분되지 않는다.",,16
16,,,(침묵이라. 폴리휨니아 쪽이 떠오른다.),,
17,,,301 「사회적 동물」@"인간은 관계 속에서 자신을 확인한다. 혼자 남겨진 기록은 때로 사람보다 오래 버틴다.",,18
18,,,(토르소의 노트도 그런 경우겠지.),,
19,,,360 「부의 불평등」@"누군가의 여분은 누군가의 결핍 위에 놓인다.",,20
20,,,(반대쪽에서 결핍 없이 사는 사람들의 삶이 참 궁금하단 말이지.),,
21,,,410 「모두가 말하는 법」@"같은 말을 해도 위치가 바뀌면 의미가 달라진다.",,22
22,,,(말도 그렇고# 조각상의 상징물도 그렇고.),,
23,,,474 「언어와 사고」@"어떤 이름은 대상을 설명하고# 어떤 이름은 대상을 가린다.",,24
24,,,(이름은 변하지 않는다. 변하는 것은 자세다.),,
25,,,502 「생명의 기원」@"생명은 태어난 것만을 뜻하지 않는다. 만들어진 것# 되살아난 것# 움직이기 시작한 것의 경계는 언제나 논쟁적이다.",,26
26,,,(움직이기 시작한 것.)@(책을 덮었다.),,
27,,,530 「물리학의 기본 원리」@"움직임은 힘과 방향으로 설명된다. 단# 무엇이 스스로 움직이려 했는지는 별개의 문제다.",,28
28,,,(그 별개의 문제 때문에 내가 여기까지 내려온 거겠지.),,
29,,,560 「우주의 비밀」@"모든 질서는 언젠가 흔들린다. 인간은 그 흔들림에 이름을 붙이며 안심한다.",,30
30,,,(이상 현상. 시설 고장. 임시 휴관. 이름은 참 많다.),,
31,,,620 「스마트 시티의 미래」@"도시는 모든 이상을 감지하고# 기록하고# 보고할 수 있어야 한다.",,32
32,,,(보고까지는 잘한다. 해결은 늘 다른 문제고.),,
33,,,640 「인공지능의 미래」@"기계는 인간의 일을 대신할 수 있는가.",,34
34,,,(내 일부터 좀 대신해 줬으면.),,
35,,,680 「환경과 기술」@"보존이란 원형을 지키는 일이며# 때로는 손대지 않는 기술이다.",,36
36,,,(오늘 내 업무는 보존과 정반대인 것 같은데.),,
37,,,704 「영화의 언어」@"어떤 장면은 설명보다 오래 남는다. 사람은 이야기를 통해 현실을 견딘다.",,38
38,,,(내 이야기는 언제나 생략된 채로 남겠지.),,
39,,,760 「조각: 고대에서 현대까지」@"조각은 사라지는 육체를 붙잡으려는 오래된 시도였다. 인간은 돌에 얼굴을 남기고# 이름을 남기고# 사랑을 남겼다.",,40
40,,,(한때는 이런 문장을 좋아했다.)@(지금은 돌에 남은 얼굴을 부수고 있다.),,
41,,,802 「신곡」@책이 있어야 할 자리가 비어 있다. 책등 라벨만 선반 아래에 남아 있다.,,42
42,,,(802. 누군가 빌려 갔겠지.)@(도서관에서 책이 비는 건# 아직은 이상한 일이 아니다.),,
43,,,810 「위대한 개츠비」@"그는 과거를 되찾기 위해 끝없는 파티를 열었다. 그러나 꿈은 돌아오지 않았고# 화려함 뒤에는 깊은 고독만 남았다.",,44
44,,,(과거를 되찾는다는 얘기는 이제 좀 그만 보고 싶네.),,
45,,,940 「역사의 흐름」@"역사는 반복된다는 말은 정확하지 않다. 사람은 비슷한 상처 앞에서 비슷한 선택을 반복한다.",,46
46,,,(비슷한 선택. 비슷한 실패.),,
47,,,960 「문명의 붕괴」@"문명의 붕괴는 외부의 충격보다 내부의 부패와 은폐에서 먼저 시작된다.",,48
48,,,(뭐든 속에서 곪는 게 더 무서운 법이니.),,
