ID,name,potrait,contexts,eventNum,skipNum
1,,,,,
2,,,,,
3,,,도서관 카페에서 파는 음료컵으로 보인다. 얼음이 다 녹아 있고# 빨대는 그대로 꽂혀 있다.,,4
4,,,주변에는 쿠키 부스러기가 떨어져 있다. 마시다 말고 자리를 급히 뜬 것 같다.,,29
5,,,- 조용해서 좋구나,,
6,,,,,
7,,,,,
8,,,,,
9,,,,,
10,,,회의실이 굳게 잠겨 있다. 열 수 있는 게 어딘가에 있을 것 같은데...,,29
11,,,띠로리. 키드키로 회의실의 문을 열었다.,,29
12,,,회의실이 굳게 잠겨 있다.,,13
13,,,대여 수칙에 따르면... 카드키는 카운터나 누군가의 사물함에 있겠군.,,29
14,,,,,
15,,,,,
16,,,,,
17,,,,,
18,,,,,
19,,,,,
20,,,,,
21,,,,,
22,,,801 「파리 대왕」@"인간의 본성은 원초적이다. 문명은 그 본성을 억누르려 하지만# 언제든지 그 본성이 드러날 수 있다.",,
23,,,책 한 권이 들어갈 만큼의 공간이 비어 있다. 아마도 누군가 빌려간 모양이다.,,
24,,,803 「안나 카레니나」@"행복한 가정은 모두 비슷하지만# 불행한 가정은 각기 다른 모습이다.",,
25,,,804 「이상한 나라의 앨리스」@"나는 어디로 가야 할지 모르겠어요. 길을 잃어버린 것 같아요. 하지만 그 길을 찾는 것이 중요해요.",,
26,,,텅# 가볍게 쳐 보지만 작동하지 않는다.,,
27,,,[이달의 도서 목록 - 문학]@1. 파리 대왕@2. 신곡,,
28,,,3. 안나 카레니나@4. 이상한 나라의 앨리스,,29
29,,,,,
